2026-01-15 02:04:53,067 DEBUG Loaded 22 labels from labels.json
2026-01-15 02:04:53,067 INFO Overlay initialized
2026-01-15 02:04:53,067 INFO TESSERACT_AVAILABLE=True EASYOCR_AVAILABLE=False
  File "/Users/yy/Library/Python/3.9/lib/python/site-packages/httpcore/_backends/sync.py", line 139, in open_tcp_stream
    return SyncSocketStream(sock=sock)
  File "/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/contextlib.py", line 135, in __exit__
    self.gen.throw(type, value, traceback)
  File "/Users/yy/Library/Python/3.9/lib/python/site-packages/httpcore/_exceptions.py", line 12, in map_exceptions
    raise to_exc(exc) from None
httpcore._exceptions.ConnectTimeout: _ssl.c:1112: The handshake operation timed out
2026-01-15 02:05:03,257 DEBUG Worker result text='Cross\nSection\n\nBida/Cu' zh=''
2026-01-15 02:05:03,294 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:03,294 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:03,358 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:03,358 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:03,417 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:03,418 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:03,478 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:03,478 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:03,538 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:03,538 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:03,598 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:03,598 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:03,662 DEBUG poll_mouse at (50, 65)
